time,v_est,CdA_est,accel_bias,power_pred,acceleration_measured,velocity_measured,power_measured
2025-06-01 15:45:24.016,2.7049560546875,0.0,0.7723846435546875,204.19140625,1.5252502720218717,2.696944444444444,0
2025-06-01 15:45:24.025,2.71343994140625,1.8680906290641463e-13,0.7723541259765625,204.19140625,1.582347498784363,2.696944444444444,0
2025-06-01 15:45:24.036,2.72216796875,4.728370472939503e-13,0.772308349609375,204.19140625,1.6384759774139632,2.696944444444444,0
2025-06-01 15:45:24.045,2.73193359375,1.1156700563397237e-12,0.772308349609375,204.19140625,1.6935183524256516,2.696944444444444,0
2025-06-01 15:45:24.055,2.74200439453125,1.77115266897232e-12,0.772308349609375,204.19140625,1.747361209880561,2.696944444444444,0
2025-06-01 15:45:24.065,2.752685546875,1.0499934255392418e-12,0.772308349609375,204.19140625,1.7998956509096542,2.696944444444444,0
2025-06-01 15:45:24.075,2.763916015625,6.589173651150304e-14,0.772308349609375,204.19140625,1.8510178273234656,2.696944444444444,0
2025-06-01 15:45:24.086,2.77557373046875,5.815972703437922e-13,0.772308349609375,204.19140625,1.9006294413109643,2.696944444444444,0
2025-06-01 15:45:24.096,2.78753662109375,6.532482887955382e-13,0.7723236083984375,204.19140625,1.9486381961830423,2.696944444444444,0
2025-06-01 15:45:24.105,2.7998046875,0.0,0.772308349609375,204.19140625,1.9949581851359992,2.696944444444444,0
2025-06-01 15:45:24.115,2.81298828125,2.9253823755764907e-13,0.772308349609375,204.19140625,2.0395102196729984,2.696944444444444,0
2025-06-01 15:45:24.125,2.8262939453125,1.2435816265643496e-12,0.772308349609375,204.19140625,2.0822221136401007,2.696944444444444,0
2025-06-01 15:45:24.135,2.8399658203125,3.2730068655340006e-12,0.7723236083984375,204.19140625,2.1230289402167712,2.696944444444444,0
2025-06-01 15:45:24.145,2.85400390625,2.959132938684661e-12,0.772308349609375,204.19140625,2.161873264683971,2.696944444444444,0
2025-06-01 15:45:24.155,2.86859130859375,2.417177569213891e-12,0.7723236083984375,204.19140625,2.1987053410389525,2.696944444444444,0
2025-06-01 15:45:24.165,2.8834228515625,2.1280754936015e-12,0.772308349609375,204.19140625,2.233483266750456,2.696944444444444,0
2025-06-01 15:45:24.175,2.89849853515625,1.3642420526593924e-12,0.772308349609375,204.19140625,2.266173108842059,2.696944444444444,0
2025-06-01 15:45:24.185,2.9139404296875,2.7284841053187847e-12,0.7722930908203125,204.19140625,2.296749019519835,2.696944444444444,0
2025-06-01 15:45:24.196,2.9295654296875,0.0,0.7722015380859375,204.19140625,2.3251933476672546,2.696944444444444,0
2025-06-01 15:45:24.205,2.945556640625,0.0,0.772125244140625,204.19140625,2.351496737469889,2.696944444444444,0
2025-06-01 15:45:24.215,2.9615478515625,0.0,0.7721099853515625,204.19140625,2.37565819370687,2.696944444444444,0
2025-06-01 15:45:24.226,2.97772216796875,1.0913936421275139e-11,0.772003173828125,204.19140625,2.397685086873059,2.696944444444444,0
2025-06-01 15:45:24.235,2.994140625,1.8189894035458565e-11,0.7718963623046875,204.19140625,2.417593071266743,2.696944444444444,0
2025-06-01 15:45:24.246,3.01068115234375,1.9099388737231493e-11,0.7718658447265625,204.19140625,2.435405897030856,2.696944444444444,0
2025-06-01 15:45:24.255,3.0274658203125,9.777068044058979e-12,0.771820068359375,204.19140625,2.451155112737962,2.696944444444444,0
2025-06-01 15:45:24.266,3.0443115234375,1.1482370609883219e-11,0.7717132568359375,204.19140625,2.4648796665790536,2.696944444444444,0
2025-06-01 15:45:24.275,3.06134033203125,1.8530954548623413e-11,0.7717132568359375,204.19140625,2.4766254129609293,2.696944444444444,0
2025-06-01 15:45:24.286,3.07830810546875,1.9952040020143613e-11,0.771728515625,204.19140625,2.4864445326669977,2.696944444444444,0
2025-06-01 15:45:24.296,3.09552001953125,1.2022383089060895e-11,0.7716827392578125,204.19140625,2.494394890798605,2.696944444444444,0
2025-06-01 15:45:24.305,3.11279296875,5.4782844927103724e-12,0.7716064453125,204.19140625,2.500539371022471,2.696944444444444,0
2025-06-01 15:45:24.316,3.1298828125,7.334577389883634e-12,0.771575927734375,204.19140625,2.504945223937305,2.696944444444444,0
2025-06-01 15:45:24.325,3.1470947265625,1.9518608951329952e-11,0.7716064453125,204.19140625,2.5076834575828544,2.696944444444444,0
2025-06-01 15:45:24.336,3.164306640625,1.5930368135741446e-11,0.771575927734375,204.19140625,2.5088282818682184,2.696944444444444,0
2025-06-01 15:45:24.345,3.18121337890625,2.7824853532365523e-11,0.771575927734375,204.19140625,2.508456601512247,2.696944444444444,0
2025-06-01 15:45:24.355,3.1982421875,5.141487235960085e-11,0.7715911865234375,204.19140625,2.506647546738983,2.696944444444444,0
2025-06-01 15:45:24.366,3.21527099609375,5.076117304270156e-11,0.7715911865234375,204.19140625,2.5034820363545807,2.696944444444444,0
2025-06-01 15:45:24.375,3.2322998046875,5.377387424232438e-11,0.7715911865234375,204.19140625,2.4990423737741145,2.696944444444444,0
2025-06-01 15:45:24.385,3.2491455078125,3.7914560380158946e-11,0.7715911865234375,204.19140625,2.493411874693264,2.696944444444444,0
2025-06-01 15:45:24.396,3.2662353515625,2.4101609596982598e-11,0.7715911865234375,204.19140625,2.4866745110233097,2.696944444444444,0
2025-06-01 15:45:24.405,3.282958984375,1.9099388737231493e-11,0.7715911865234375,204.19140625,2.47891454281434,2.696944444444444,0
2025-06-01 15:45:24.416,3.29962158203125,1.8758328224066645e-11,0.771575927734375,204.19140625,2.4702161144675383,2.696944444444444,0
