time,WindAD,Wind (m/s),Speed,X (m/s^2),Y (m/s^2),Z (m/s^2),G (m/s^2),meta_stance,meta_speed_mph,meta_direction,position_lat,position_long,heart_rate,cadence,distance,power,enhanced_speed,enhanced_altitude
2025-05-11T11:04:05.000000,409,2.6285952,5.87383,-9.684265230000001,-0.26794053,4.9253557500000005,10.86811641,up,13,EW,38.5395273,-121.7802284,137,80,139.13,62,5.878055555555556,17.0
2025-05-11T11:04:06.000000,400,2.1189696000000002,5.815666,-9.88155414,2.9324052000000003,3.48086268,10.879358670000002,up,13,EW,38.5395292,-121.7802964,137,80,144.98,65,5.85,17.0
2025-05-11T11:04:07.000000,397,1.966976,5.781334,-11.72616768,2.63527011,6.509660940000001,13.66833186,up,13,EW,38.5395319,-121.7803622,137,80,150.8,61,5.821944444444445,17.0
2025-05-11T11:04:08.000000,412,2.8163519999999997,5.788264,-4.678967790000001,-1.07266464,1.5649991100000002,5.04902061,up,13,EW,38.539533,-121.78043,136,79,156.57,65,5.766111111111111,17.0
2025-05-11T11:04:09.000000,395,1.8686272,5.661148,-4.758752520000001,-1.2268484100000001,2.30685093,5.428854,up,13,EW,38.5395342,-121.7804962,136,79,162.29,74,5.72,17.0
2025-05-11T11:04:10.000000,390,1.6406368,5.696634,-12.592410300000001,-0.66088008,3.64806432,13.126839480000001,up,13,EW,38.5395362,-121.7805617,136,78,168.01,93,5.72,17.0
2025-05-11T11:04:11.000000,398,2.0161504,5.814859,-8.48794554,0.17184177000000003,3.6735114600000003,9.25037874,up,13,EW,38.5395385,-121.7806304,136,79,173.82,74,5.813055555555556,17.0
2025-05-11T11:04:12.000000,395,1.8686272,5.882164,-12.78656001,1.6254679500000002,6.51953961,14.44446963,up,13,EW,38.5395392,-121.7806953,136,80,179.7,76,5.878055555555556,17.2
2025-05-11T11:04:13.000000,393,1.7747488,5.895454,-12.308008590000002,0.8931906900000001,8.59063662,15.0360813,up,13,EW,38.5395416,-121.780763,136,80,185.62,79,5.925,17.2
2025-05-11T11:04:14.000000,394,1.8194528,5.938379,-4.05462015,0.6185106899999999,2.64993606,4.88310408,up,13,EW,38.5395431,-121.7808324,136,81,191.56,78,5.933888888888888,17.2
2025-05-11T11:04:15.000000,416,3.0801056,5.900872,-11.190580920000002,1.17894618,5.4398412,12.4984305,up,13,EW,38.5395444,-121.7809017,136,80,197.47,72,5.916111111111111,17.2
2025-05-11T11:04:16.000000,400,2.1189696000000002,5.859375,-5.72694066,-0.50549949,2.32511715,6.20157789,up,13,EW,38.539546,-121.7809702,136,80,203.37,74,5.896944444444444,17.2
2025-05-11T11:04:17.000000,390,1.6406368,5.889416,-10.79809263,1.84176864,5.8188505500000005,12.40362666,up,13,EW,38.5395474,-121.7810399,136,80,209.27,75,5.896944444444444,17.2
2025-05-11T11:04:18.000000,394,1.8194528,5.923709,-11.550284190000001,2.3287076100000004,6.44439501,13.42989981,up,13,EW,38.5395493,-121.7811068,136,81,215.2,77,5.925,17.2
2025-05-11T11:04:19.000000,409,2.6285952,5.878536,-6.84721323,1.31232294,4.39456608,8.24127309,up,13,EW,38.5395501,-121.7811729,136,81,221.1,89,5.9061111111111115,17.2
2025-05-11T11:04:20.000000,396,1.9178016,5.92904,-9.76584519,1.13479137,4.7720745,10.92849696,up,13,EW,38.5395517,-121.7812423,136,81,227.02,79,5.925,17.2
2025-05-11T11:04:21.000000,405,2.391664,5.960589,-6.75754983,-2.1475855800000003,4.434227910000001,8.362946520000001,up,13,EW,38.5395538,-121.7813117,136,81,232.99,71,5.961944444444445,17.2
2025-05-11T11:04:22.000000,382,1.3142976,5.961259,-11.81642949,2.0281292100000003,5.17578543,13.058718840000001,up,13,EW,38.5395543,-121.7813802,136,81,238.95,75,5.961944444444445,17.2
2025-05-11T11:04:23.000000,383,1.3500608,6.009964,-9.353599560000001,0.74844414,2.9542520700000003,9.8375661,up,13,EW,38.5395548,-121.7814506,136,82,244.96,103,6.008888888888889,17.2
2025-05-11T11:04:24.000000,405,2.391664,6.1171,-11.83528431,1.13868594,4.97820222,12.89003589,up,13,EW,38.5395553,-121.7815185,136,82,251.04,73,6.08388888888889,17.2
2025-05-11T11:04:25.000000,373,1.00584,6.141941,-40.849605180000005,-8.02421703,9.496698030000001,42.69971232,up,13,EW,38.5395578,-121.7815871,137,83,257.15,63,6.111944444444445,17.0
2025-05-11T11:04:26.000000,378,1.1712448,6.138673,-11.38981221,2.5285373100000004,6.86128077,13.535082630000002,up,13,EW,38.5395584,-121.7816581,136,83,263.26,62,6.101944444444444,17.0
2025-05-11T11:04:27.000000,385,1.430528,6.077395,-7.11949959,1.00021779,2.38558599,7.574869980000001,up,13,EW,38.5395613,-121.781729,136,83,269.37,77,6.111944444444445,17.0
2025-05-11T11:04:28.000000,386,1.4707616,6.085707,-10.42656831,1.42203798,6.1745121,12.200824530000002,up,13,EW,38.5395638,-121.7818008,137,83,275.47,70,6.101944444444444,17.0
2025-05-11T11:04:29.000000,386,1.4707616,6.157955,-16.37758899,2.92641129,5.379813810000001,17.48518704,up,13,EW,38.5395658,-121.7818713,137,84,281.63,56,6.158055555555556,17.0
2025-05-11T11:04:30.000000,397,1.966976,6.180747,-6.84900846,0.70922376,3.7143799200000003,7.82358291,up,13,EW,38.5395657,-121.781942,137,83,287.81,58,6.176944444444445,17.0
2025-05-11T11:04:32.000000,396,1.9178016,6.018123,-3.40930854,-0.54756477,3.22968744,4.72800798,up,13,EW,38.5395651,-121.7820785,136,83,299.93,47,6.028055555555556,17.2
2025-05-11T11:04:33.000000,397,1.966976,5.935671,-7.81764786,-1.5015284100000001,4.61594835,9.20201544,up,13,EW,38.5395677,-121.7821487,136,82,305.87,57,5.925,17.2
2025-05-11T11:04:34.000000,394,1.8194528,5.919024,-13.338166500000002,2.2140483300000002,7.785157140000001,15.60183381,up,13,EW,38.5395711,-121.7822189,136,82,311.79,58,5.933888888888888,17.2
2025-05-11T11:04:35.000000,407,2.5078944,5.973983,-8.73748251,2.5191099,5.25602142,10.503105930000002,up,13,EW,38.5395722,-121.782286,136,81,317.78,59,5.981111111111112,17.2
2025-05-11T11:04:36.000000,406,2.4497792,6.021222,-10.27837845,0.12529332,4.01539977,11.035582920000001,up,13,EW,38.539574,-121.7823532,136,82,323.77,65,6.000000000000001,17.4
2025-05-11T11:04:37.000000,401,2.1726144,6.017767,-0.2860596,0.04699971,0.29967588,0.41694462,up,13,EW,38.5395771,-121.7824197,136,82,329.8,63,6.028055555555556,17.4
