alpha,beta,kappa,Q_v,Q_CdA,Q_bias,R_crank,x0_v,x0_CdA,x0_bias,rmse_velocity
0.1,1.9901389315999434,0.0,0.3,0.05646369900695157,1.424620795397134,900.0,2.501111111111111,0.1,2.0,1.6338501809486505
0.1,1.9941997295552365,0.9124881355878679,0.3,0.01,1.3393824120125923,900.0,2.4811111111111113,0.1,2.0,1.6353258890726972
0.00010940742889454559,2.01,0.3120057400812126,0.3,0.08115449096045506,1.3601351010376075,900.0,2.4947057595988475,0.1,2.0,1.6358418408065303
0.00040149837759917596,1.99,1.0,0.3,0.05455602666513821,1.5,900.0,2.501111111111111,0.1,2.0,1.6381954051633105
0.1,2.01,1.0,0.3,0.15706349353330093,1.5,900.0,2.4811111111111113,0.1,2.0,1.6385438768101601
0.0001,2.01,0.0,0.3,0.01,1.477476252481493,900.0,2.4811111111111113,0.1,2.0,1.6385717739207488
0.0001,1.9936710845278005,0.34918167042190096,0.3,0.08676226707776202,1.434394665493641,900.0,2.4811111111111113,0.1,1.569080791246775,1.641183223023631
0.1,2.01,0.9242051657961134,0.3,0.01,1.3884206188706338,900.0,2.501111111111111,0.1,1.4532464642128564,1.641392208024606
0.0001,1.9981174650393259,1.0,0.3,0.01,1.2845121570904396,748.3070437620711,2.482155152477841,0.1,2.0,1.644511941897863
0.04284657841910626,1.9917321187335604,0.4066728261219966,0.30755833619644973,0.11136483887543742,1.4894899791134575,859.4315350257829,2.4996452123189488,0.10245981652478489,1.8625110905704922,1.6452917308179678
0.07340460608801351,2.01,0.7458197946105894,0.3,0.06415399041168514,1.2097071830379738,836.540201956564,2.49699517297775,0.1,1.7566806900736298,1.6500277980920113
0.1,2.01,0.33450094575799616,0.3,0.09021901433454943,1.5,900.0,2.4811111111111113,0.1,1.0153392318890715,1.6504123582560715
0.00297532310435281,2.01,0.5390243825355732,0.3,0.07292304408334502,1.3259225644366686,900.0,2.501111111111111,0.1,1.09692012213993,1.6530471081176539
0.1,2.01,0.0,0.3,0.05562552628007873,1.0980418998319148,651.0034961020086,2.501111111111111,0.1,2.0,1.6541544974788
0.006620757903605884,1.9994720148734313,0.8950201946445986,0.3042826066654191,0.04440191822271737,1.1171344449468177,696.0041553347439,2.493037178150723,0.10222723438419964,1.8631170388920404,1.655613942633723
0.004057822381165835,2.0033081612891745,0.7328459322997897,0.34081928836007985,0.05954865702311253,1.3707207639190362,865.4556163234342,2.4849027428286994,0.10800261910811274,1.848752133007076,1.6600669010730964
0.0008562624702309575,2.000946584966829,0.34045416516634514,0.3171061737416286,0.06779638956684386,1.1975163212223479,667.1980489690923,2.4950892771545274,0.10136615185978351,1.9956455899332293,1.6604720006192617
0.019126330773969462,1.990381848650941,1.0,0.3,0.01,1.1526825977325994,653.0715042793121,2.4811111111111113,0.1,1.3054087259616767,1.6625050528658831
0.003188089384007679,1.99,1.0,0.3,0.14818654216204366,1.5,900.0,2.501111111111111,0.1,0.4990860387276687,1.6626254025798226
0.00019460267872086778,2.0041926749164647,0.36216738845336666,0.32374734729807364,0.08576225319470393,1.2452298858381328,804.2348853957376,2.4878861249736923,0.10123156262089181,1.4069024115485345,1.6633880582846385
0.016023828621099814,1.9946941024245362,0.5837100331973569,0.36670412176076783,0.13118626981236395,1.4972154039228367,896.4492957404483,2.4986472066964724,0.10372501381137392,1.868567481069236,1.66408814495798
0.000917382723880924,2.007578997723327,0.0,0.3,0.11003989281766777,1.5,712.7140972011987,2.486232594637263,0.1,2.0,1.6648290900471892
0.0007569756028485425,2.0077229768817264,0.44660881346122255,0.3078615374905963,0.10971888300885792,1.2979633892139855,704.6478807121094,2.492464496488753,0.10693222418171804,1.5698647670716417,1.6658299093250801
0.0031824562787521,1.99,1.0,0.3,0.01,0.9164795816481216,611.1515547719589,2.4841936372469102,0.1,2.0,1.6661551295362214
0.08608868647425619,2.0001288908575523,0.7867042795200492,0.34140760551287047,0.1903995418011424,1.4043603622341942,882.3501292494453,2.48357049249447,0.10128069905052522,1.9946999256077411,1.6663099341608898
0.02732533416169064,2.01,0.44056643827796815,0.3,0.16018189138665476,1.5,900.0,2.501111111111111,0.12939928297105355,2.0,1.667880524839631
0.00018073324421155764,1.9946695861343404,0.765186516937711,0.34692252238962124,0.15651323506966824,1.4764376874248937,860.4867952546297,2.499185938964274,0.10589000989510874,1.3247186095398602,1.6716343519463093
0.000572632679227773,1.9920474945856148,0.990923673602329,0.300836789956934,0.20543075689990242,1.4807780453984216,755.3647275277316,2.4865188740490796,0.10880414470257907,1.8618346272792174,1.6724474399258629
0.004885675547388451,1.9909769845059344,0.6628181409270769,0.3384348674797988,0.1483691845297302,1.4186849761196831,795.1448778889593,2.499061190419233,0.10718727844866247,1.4229799040871656,1.6738513469866485
0.02055716342589332,1.9956963924501778,0.10011111602695102,0.3099072504403197,0.033190385999876115,1.4788750258117138,702.0791247136356,2.4950338455014416,0.10136396626023644,1.7508357691028311,1.6739261082635386
0.02716083685582254,1.9988681355429638,0.8919851767122106,0.30311484184254206,0.10339280998765006,1.054103044494773,650.4303759798461,2.492420501427628,0.105112644939057,1.949790683232791,1.6742188753482263
0.0021897317866618154,1.9904636033697098,0.866759866113431,0.3007612616549634,0.045540427379750774,1.3223721401714983,794.2548221386171,2.4961226079051544,0.12679873864129435,1.3972903126455491,1.6758721922216224
0.00029406537397192156,1.9965625952292236,0.09088746032442198,0.3191249856384127,0.013451176814163374,1.0557221037621172,788.043141974968,2.500510869075568,0.10518628744515543,1.5033502474021776,1.6762410150448297
